timestep,speed_front_right,current_front_right,acceleration_front_right,speed_rear_right,current_rear_right,acceleration_rear_right,speed_rear_left,current_rear_left,acceleration_rear_left,speed_front_left,current_front_left,acceleration_front_left,angle_front,angle_rear
5784.0,-727.5,-354.5,1.0,-728.0,-352.0,1.0,789.75,646.5,1.0,772.0,932.0,1.0,-4.23125,4.20625
5785.0,-704.75,-285.25,1.0,-702.5,-232.0,1.0,796.0625,625.875,1.0,762.25,1220.25,1.0,-8.1325,8.025
5786.0,-671.5,-231.5,1.0,-671.25,-337.5,1.0,802.375,605.25,1.0,765.5,920.0,1.0,-12.16625,12.03625
5787.0,-646.0,-593.0,1.0,-650.5,-374.5,1.0,808.6875,584.625,1.0,794.75,1068.5,1.0,-14.6875,14.625
5788.0,-594.5,-616.5,1.0,-620.0,-547.25,1.0,815.0,564.0,1.0,804.5,1002.0,1.0,-14.1525,14.1625
5789.0,-594.0,-557.0,1.0,-631.5,-550.0,1.0,811.75,597.125,1.0,811.5,949.0,1.0,-13.3375,13.315
5790.0,-599.5,-518.25,1.0,-635.0,-558.5,1.0,808.5,630.25,1.0,798.5,902.75,1.0,-12.7825,12.7375
5791.0,-607.0,-497.0,1.0,-628.75,-615.0,1.0,805.25,663.375,1.0,797.5,854.5,1.0,-11.135,11.09
5792.0,-633.75,-635.5,1.0,-643.5,-458.5,1.0,802.0,696.5,1.0,795.0,930.5,1.0,-10.5025,10.482500000000002
5793.0,-629.0,-435.0,1.0,-640.5,-580.0,1.0,798.75,729.625,1.0,786.5,1079.0,1.0,-10.46,10.46
5794.0,-630.5,-382.5,1.0,-637.5,-544.5,1.0,795.5,762.75,1.0,767.0,709.25,1.0,-10.4375,10.46
5795.0,-644.0,-652.5,1.0,-646.0,-415.75,1.0,792.25,795.875,1.0,771.0,893.5,1.0,-10.415,10.46
5796.0,-638.5,-472.0,1.0,-648.5,-535.0,1.0,789.0,829.0,1.0,779.5,944.0,1.0,-10.37,10.46
5797.0,-640.0,-580.0,1.0,-652.5,-600.0,1.0,788.0,827.5,1.0,782.5,869.5,1.0,-10.37,10.46
5798.0,-634.0,-673.0,1.0,-651.75,-674.0,1.0,787.0,826.0,1.0,791.0,1129.5,1.0,-10.37,10.46
